SKU,Item Name,Unit Price (excl. VAT),Qty
01 Ice Ice Baby -HTF,01 Ice Ice Baby -HTF,7.41,
02 Cotton Candy -HTF,02 Cotton Candy -HTF,7.41,
02B Sweetheart -HTF,02B Sweetheart -HTF,7.41,
02C Ballet Shoes -HTF,02C Ballet Shoes -HTF,7.41,
02D Le Culotté -HTF,02D Le Culotté -HTF,7.41,
02E Co Co Co Carde -HTF,02E Co Co Co Carde -HTF,7.41,
02F Oh Marie Oh Marie -HTF,02F Oh Marie Oh Marie -HTF,7.41,
02G Riviera Rose -HTF,02G Riviera Rose -HTF,7.41,
02H Rose Bonbon -HTF,02H Rose Bonbon -HTF,7.41,
02I Ok Baby -HTF,02I Ok Baby -HTF,7.41,
FR01 Egalité -HTF,FR01 Egalité -HTF,7.41,
FR02 Fraternité -HTF,FR02 Fraternité -HTF,7.41,
FR03 Garnet -HTF,FR03 Garnet -HTF,7.41,
FR04 Living Coral -HTF,FR04 Living Coral -HTF,7.41,
FR05 Almond Glaze -HTF,FR05 Almond Glaze -HTF,7.41,
FR06 The Perfect Nude -HTF,FR06 The Perfect Nude -HTF,7.41,
FR07 Glitter Petal,FR07 Glitter Petal,7.41,
FR08 Ice Drop -HTF,FR08 Ice Drop -HTF,7.41,
N001 Geisha Girl -HTF,N001 Geisha Girl -HTF,7.41,
N002 Cashmere -HTF,N002 Cashmere -HTF,7.41,
N003 Porcelain -HTF,N003 Porcelain -HTF,7.41,
N004 Spun Sugar -HTF,N004 Spun Sugar -HTF,7.41,
N005 Burberry Blush -HTF,N005 Burberry Blush -HTF,7.41,
N006 Chanterel -HTF,N006 Chanterel -HTF,7.41,
N007 Naked Beauty -HTF,N007 Naked Beauty -HTF,7.41,
N008 If The Shoe Fits -HTF,N008 If The Shoe Fits -HTF,7.41,
N009 Blushing Bride -HTF,N009 Blushing Bride -HTF,7.41,
N010 Frappelicious -HTF,N010 Frappelicious -HTF,7.41,
N011 Berry Me Softly -HTF,N011 Berry Me Softly -HTF,7.41,
N012 Fluffy Blue Sky -HTF,N012 Fluffy Blue Sky -HTF,7.41,
N013 Antique -HTF,N013 Antique -HTF,7.41,
N014 Sugarcane -HTF,N014 Sugarcane -HTF,7.41,
N015 Celestial -HTF,N015 Celestial -HTF,7.41,
N016 Wild Card -HTF,N016 Wild Card -HTF,7.41,
N017 Pale Petal -HTF,N017 Pale Petal -HTF,7.41,
N018 Chic -HTF,N018 Chic -HTF,7.41,
N019 Luxe Linen -HTF,N019 Luxe Linen -HTF,7.41,
N020 Beige Bliss -HTF,N020 Beige Bliss -HTF,7.41,
N021 Soft Mocha -HTF,N021 Soft Mocha -HTF,7.41,
N022 Blushing Buff -HTF,N022 Blushing Buff -HTF,7.41,
N023 Princess Diaries -HTF,N023 Princess Diaries -HTF,7.41,
N024 New Porn Pink -HTF,N024 New Porn Pink -HTF,7.41,
