sku,colorFamily,imageUrl
# Valid colorFamily values: RED,PINK,NUDE,ORANGE,YELLOW,GREEN,BLUE,PURPLE,BROWN,GREY,BLACK,WHITE
GIUP-01,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-01.jpg
GIUP-02,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-02.jpg
GIUP-2B,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-2B.jpg
GIUP-2C,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-2C.jpg
GIUP-2D,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-2D.jpg
GIUP-2E,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-2E.jpg
GIUP-2F,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-2F.jpg
GIUP-2G,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-2G.jpg
GIUP-2H,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-2H.webp
GIUP-2I,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-2I.webp
GIUP-03,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-03.jpg
GIUP-04,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-04.jpg
GIUP-05,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-05.jpg
GIUP-06,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-06.jpg
GIUP-07,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-07.jpg
GIUP-7B,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-7B.jpg
GIUP-7C,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-7C.jpg
GIUP-7D,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-7D.jpg
GIUP-08,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-08.jpg
GIUP-8A,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-8A.jpg
GIUP-08B,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-08B.jpg
GIUP-8C,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-8C.jpg
GIUP-8D,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-8D.jpg
GIUP-8E,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-8E.jpg
GIUP-8F,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-8F.webp
GIUP-09,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-09.jpg
GIUP-9A,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-9A.jpg
GIUP-9B,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-9B.jpg
GIUP-10,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-10.jpg
GIUP-11,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-11.jpg
GIUP-12,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-12.jpg
GIUP-13,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-13.jpg
GIUP-14,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-14.jpg
GIUP-15,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-15.jpg
GIUP-15A,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-15A.jpg
GIUP-16,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-16.jpg
GIUP-17,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-17.jpg
GIUP-18,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-18.jpg
GIUP-19,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-19.jpg
GIUP-20,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-20.jpg
GIUP-20A,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-20A.jpg
GIUP-20B,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-20B.jpg
GIUP-20C,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-20C.jpg
GIUP-21,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-21.jpg
GIUP-21A,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-21A.jpg
GIUP-22,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-22.jpg
GIUP-23,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-23.jpg
GIUP-24,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-24.jpg
GIUP-25,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-25.jpg
GIUP-26,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-26.jpg
GIUP-27,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-27.jpg
GIUP-27A,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-27A.jpg
GIUP-28,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-28.jpg
GIUP-28A,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-28A.jpg
GIUP-29,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-29.jpg
GIUP-29A,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-29A.jpg
GIUP-30,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-30.jpg
GIUP-31,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-31.jpg
GIUP-32,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-32.jpg
GIUP-33,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-33.jpg
GIUP-34,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-34.jpg
GIUP-34B,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-34B.jpg
GIUP-35,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-35.jpg
GIUP-36,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-36.jpg
GIUP-37,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-37.jpg
GIUP-38,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-38.jpg
GIUP-39,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-39.jpg
GIUP-40,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-40.jpg
GIUP-41,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-41.jpg
GIUP-50,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-50.jpg
GIUP-51,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-51.jpg
GIUP-51A,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-51A.jpg
GIUP-52,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-52.jpg
GIUP-53,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-53.jpg
GIUP-54,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-54.jpg
GIUP-55,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-55.jpg
GIUP-56,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-56.jpg
GIUP-57,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-57.jpg
GIUP-58,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-58.jpg
GIUP-59,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-59.jpg
GIUP-60,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-60.jpg
GIUP-61,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-61.jpg
GIUP-62,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-62.jpg
GIUP-63,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-63.jpg
GIUP-64,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-64.jpg
GIUP-70,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-70.jpg
GIUP-71,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-71.jpg
GIUP-72,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-72.jpg
GIUP-73,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-73.jpg
GIUP-74,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-74.jpg
GIUP-75,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-75.jpg
GIUP-76,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-76.jpg
GIUP-77,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-77.jpg
GIUP-78,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-78.jpg
GIUP-79,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-79.jpg
GIUP-80,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-80.jpg
GIUP-81,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-81.jpg
GIUP-82,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-82.jpg
GIUP-83,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-83.jpg
GIUP-84,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-84.jpg
GIUP-85,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-85.jpg
GIUP-86,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-86.jpg
GIUP-87,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-87.jpg
GIUP-88,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-88.jpg
