Collection,Slot,Code,ColorName,DefaultQty,Status,Notes
The Foundations,F01,01,White,3,Confirmed,Mandatory inclusion
The Foundations,F02,09,Coco Nude,3,Confirmed,Mandatory inclusion
The Foundations,F03,15,Black,3,Confirmed,Mandatory inclusion
The Foundations,F04,102,Marsh Mallow,3,Confirmed,Mandatory inclusion
The Foundations,F05,TBD-FOUND-05,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F06,TBD-FOUND-06,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F07,TBD-FOUND-07,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F08,TBD-FOUND-08,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F09,TBD-FOUND-09,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F10,TBD-FOUND-10,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F11,TBD-FOUND-11,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F12,TBD-FOUND-12,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F13,TBD-FOUND-13,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F14,TBD-FOUND-14,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F15,TBD-FOUND-15,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F16,TBD-FOUND-16,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F17,TBD-FOUND-17,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F18,TBD-FOUND-18,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F19,TBD-FOUND-19,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F20,TBD-FOUND-20,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F21,TBD-FOUND-21,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F22,TBD-FOUND-22,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F23,TBD-FOUND-23,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F24,TBD-FOUND-24,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F25,TBD-FOUND-25,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F26,TBD-FOUND-26,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F27,TBD-FOUND-27,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F28,TBD-FOUND-28,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F29,TBD-FOUND-29,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The Foundations,F30,TBD-FOUND-30,TBD from Zoho (Foundation),2,Pending,Classic white/nude/red mix
The 2026 Trend-setters,T01,2026,Whaat? Pistachio?,2,Confirmed,Bio-Synthetic Greens anchor
The 2026 Trend-setters,T02,120,Wisteria Lane,2,Confirmed,Digital Lavenders anchor
The 2026 Trend-setters,T03,TBD-TRND-03,TBD from Zoho (Trend),1,Pending,Bio-Synthetic Greens
The 2026 Trend-setters,T04,TBD-TRND-04,TBD from Zoho (Trend),1,Pending,Bio-Synthetic Greens
The 2026 Trend-setters,T05,TBD-TRND-05,TBD from Zoho (Trend),1,Pending,Bio-Synthetic Greens
The 2026 Trend-setters,T06,TBD-TRND-06,TBD from Zoho (Trend),1,Pending,Bio-Synthetic Greens
The 2026 Trend-setters,T07,TBD-TRND-07,TBD from Zoho (Trend),1,Pending,Bio-Synthetic Greens
The 2026 Trend-setters,T08,TBD-TRND-08,TBD from Zoho (Trend),1,Pending,Bio-Synthetic Greens
The 2026 Trend-setters,T09,TBD-TRND-09,TBD from Zoho (Trend),1,Pending,Bio-Synthetic Greens
The 2026 Trend-setters,T10,TBD-TRND-10,TBD from Zoho (Trend),1,Pending,Bio-Synthetic Greens
The 2026 Trend-setters,T11,TBD-TRND-11,TBD from Zoho (Trend),1,Pending,Digital Lavenders
The 2026 Trend-setters,T12,TBD-TRND-12,TBD from Zoho (Trend),1,Pending,Digital Lavenders
The 2026 Trend-setters,T13,TBD-TRND-13,TBD from Zoho (Trend),1,Pending,Digital Lavenders
The 2026 Trend-setters,T14,TBD-TRND-14,TBD from Zoho (Trend),1,Pending,Digital Lavenders
The 2026 Trend-setters,T15,TBD-TRND-15,TBD from Zoho (Trend),1,Pending,Digital Lavenders
The 2026 Trend-setters,T16,TBD-TRND-16,TBD from Zoho (Trend),1,Pending,Digital Lavenders
The 2026 Trend-setters,T17,TBD-TRND-17,TBD from Zoho (Trend),1,Pending,Digital Lavenders
The 2026 Trend-setters,T18,TBD-TRND-18,TBD from Zoho (Trend),1,Pending,Digital Lavenders
The 2026 Trend-setters,T19,TBD-TRND-19,TBD from Zoho (Trend),1,Pending,Digital Lavenders
The 2026 Trend-setters,T20,TBD-TRND-20,TBD from Zoho (Trend),1,Pending,Digital Lavenders
The 2026 Trend-setters,T21,TBD-TRND-21,TBD from Zoho (Trend),1,Pending,Earthy Terracottas
The 2026 Trend-setters,T22,TBD-TRND-22,TBD from Zoho (Trend),1,Pending,Earthy Terracottas
The 2026 Trend-setters,T23,TBD-TRND-23,TBD from Zoho (Trend),1,Pending,Earthy Terracottas
The 2026 Trend-setters,T24,TBD-TRND-24,TBD from Zoho (Trend),1,Pending,Earthy Terracottas
The 2026 Trend-setters,T25,TBD-TRND-25,TBD from Zoho (Trend),1,Pending,Earthy Terracottas
The 2026 Trend-setters,T26,TBD-TRND-26,TBD from Zoho (Trend),1,Pending,Earthy Terracottas
The 2026 Trend-setters,T27,TBD-TRND-27,TBD from Zoho (Trend),1,Pending,Earthy Terracottas
The 2026 Trend-setters,T28,TBD-TRND-28,TBD from Zoho (Trend),1,Pending,Earthy Terracottas
The 2026 Trend-setters,T29,TBD-TRND-29,TBD from Zoho (Trend),1,Pending,Earthy Terracottas
The 2026 Trend-setters,T30,TBD-TRND-30,TBD from Zoho (Trend),1,Pending,Earthy Terracottas
The Nightlife/Flash,N01,2113J,Flashing Star,2,Confirmed,Mandatory inclusion
The Nightlife/Flash,N02,TBD-GCE-01,TBD from Zoho (GCE Series),1,Pending,GCE Glass Cat Eye
The Nightlife/Flash,N03,TBD-GCE-02,TBD from Zoho (GCE Series),1,Pending,GCE Glass Cat Eye
The Nightlife/Flash,N04,TBD-GCE-03,TBD from Zoho (GCE Series),1,Pending,GCE Glass Cat Eye
The Nightlife/Flash,N05,TBD-GCE-04,TBD from Zoho (GCE Series),1,Pending,GCE Glass Cat Eye
The Nightlife/Flash,N06,TBD-GCE-05,TBD from Zoho (GCE Series),1,Pending,GCE Glass Cat Eye
The Nightlife/Flash,N07,TBD-GCE-06,TBD from Zoho (GCE Series),1,Pending,GCE Glass Cat Eye
The Nightlife/Flash,N08,TBD-GCE-07,TBD from Zoho (GCE Series),1,Pending,GCE Glass Cat Eye
The Nightlife/Flash,N09,TBD-GCE-08,TBD from Zoho (GCE Series),1,Pending,GCE Glass Cat Eye
The Nightlife/Flash,N10,TBD-GCE-09,TBD from Zoho (GCE Series),1,Pending,GCE Glass Cat Eye
The Nightlife/Flash,N11,TBD-GCE-10,TBD from Zoho (GCE Series),1,Pending,GCE Glass Cat Eye
The Nightlife/Flash,N12,TBD-NITE-12,TBD from Zoho (Nightlife/Flash),1,Pending,Flash/reflective
The Nightlife/Flash,N13,TBD-NITE-13,TBD from Zoho (Nightlife/Flash),1,Pending,Flash/reflective
The Nightlife/Flash,N14,TBD-NITE-14,TBD from Zoho (Nightlife/Flash),1,Pending,Flash/reflective
The Nightlife/Flash,N15,TBD-NITE-15,TBD from Zoho (Nightlife/Flash),1,Pending,Flash/reflective
The Nightlife/Flash,N16,TBD-NITE-16,TBD from Zoho (Nightlife/Flash),1,Pending,Flash/reflective
