Category,Product,B2B Price (€),Authority Distributor (€),Professional Distributor (€),Sales Representative (€),Level 2 Country Tier (€)
SOLID GEL POLISH,01 Ice Ice Baby -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,02 Cotton Candy -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,02B Sweetheart -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,02C Ballet Shoes -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,02D Le CulottÃ© -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,02E Co Co Co Carde -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,02F Oh Marie Oh Marie -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,02G Riviera Rose -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,02H Rose Bonbon -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,02I Ok Baby -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,03 In the Flesh -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,04 Milkyway -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,05 Snow Queen -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,06 Spring Breath -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,07 Lavender Dreams -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,07B Liberte -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,07C Allons Danton -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,07D Tulle Taupe -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,08 Ivory -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,08A Tusker -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,08B Save the Kalasha -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,08C Napoleon Blues -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,08D Snowy Tree Tops -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,08E Ivory Sparkle -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,08F Soft Devotion -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,09 Coco Nude -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,09A Au Pli Louis -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,09B Knock Off -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,10 Bridal Bliss -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,100 Baby Blush -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,100A She Bangs -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,101 Hispanicum -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,102 Marshmallow -HTF,8.9,1.96,3.29,7.57,2.49
SOLID GEL POLISH,103 Pink Pizazz -HTF,8.9,1.96,3.29,7.57,2.49
