SKU,Name,Price
"FR07 Glitter Petal","FR07 Glitter Petal",7.41
"N024 New Porn Pink -HTF","N024 New Porn Pink -HTF",7.41
"N026 Whispering Blush -HTF","N026 Whispering Blush -HTF",7.41
"218 Sweet Carbonight -HTF","218 Sweet Carbonight -HTF",7.41
"2112 Lola la la la Lola -HTF","2112 Lola la la la Lola -HTF",7.41
"2527 The Doll's Dress -HTF","2527 The Doll's Dress -HTF",7.41
"2529 Thunderstorm -HTF","2529 Thunderstorm -HTF",7.41
"255 Celebration -HTF","255 Celebration -HTF",9.67
"2113S Vivi Vail -HTF","2113S Vivi Vail -HTF",7.36
"GEL.IT.UP 1 R01 11ml -HTF","GEL.IT.UP 1 R01 11ml -HTF",8.97
"GEL.IT.UP 1 R02 11ml -HTF","GEL.IT.UP 1 R02 11ml -HTF",8.97
"GEL.IT.UP 1 R03 11ml -HTF","GEL.IT.UP 1 R03 11ml -HTF",8.97
"GEL.IT.UP 1 R04 11ml -HTF","GEL.IT.UP 1 R04 11ml -HTF",8.97
"GEL.IT.UP 1 R05 11ml -HTF","GEL.IT.UP 1 R05 11ml -HTF",8.97
"GEL.IT.UP 1 R06 11ml -HTF","GEL.IT.UP 1 R06 11ml -HTF",8.97
"GEL.IT.UP 1 R07 11ml -HTF","GEL.IT.UP 1 R07 11ml -HTF",8.97
"GEL.IT.UP 1 R08 11ml -HTF","GEL.IT.UP 1 R08 11ml -HTF",8.97
"GEL.IT.UP 1 R09 11ml -HTF","GEL.IT.UP 1 R09 11ml -HTF",8.97
"GEL.IT.UP 1 R10 11ml -HTF","GEL.IT.UP 1 R10 11ml -HTF",8.97
"GEL.IT.UP 1 R11 11ml -HTF","GEL.IT.UP 1 R11 11ml -HTF",8.97
"GEL.IT.UP 1 R12 11ml -HTF","GEL.IT.UP 1 R12 11ml -HTF",8.97
"GEL.IT.UP 1 R13 11ml -HTF","GEL.IT.UP 1 R13 11ml -HTF",8.97
"GEL.IT.UP 1 R14 11ml -HTF","GEL.IT.UP 1 R14 11ml -HTF",8.97
"GEL.IT.UP 1 R15 11ml -HTF","GEL.IT.UP 1 R15 11ml -HTF",8.97
"GEL.IT.UP 1 R16 11ml -HTF","GEL.IT.UP 1 R16 11ml -HTF",8.97
"GEL.IT.UP 1 R17 11ml -HTF","GEL.IT.UP 1 R17 11ml -HTF",8.97
"GEL.IT.UP 1 R18 11ml -HTF","GEL.IT.UP 1 R18 11ml -HTF",8.97
"GEL.IT.UP 1 R19 11ml -HTF","GEL.IT.UP 1 R19 11ml -HTF",8.97
"GEL.IT.UP 1 R20 11ml -HTF","GEL.IT.UP 1 R20 11ml -HTF",8.97
"GEL.IT.UP 1 R21 11ml -HTF","GEL.IT.UP 1 R21 11ml -HTF",8.97
"GEL.IT.UP 1 R22 11ml -HTF","GEL.IT.UP 1 R22 11ml -HTF",8.97
"GEL.IT.UP 1 R23 11ml -HTF","GEL.IT.UP 1 R23 11ml -HTF",8.97
"GEL.IT.UP 1 R24 11ml -HTF","GEL.IT.UP 1 R24 11ml -HTF",8.97
"GEL.IT.UP 1 R25 11ml -HTF","GEL.IT.UP 1 R25 11ml -HTF",8.97
"GEL.IT.UP 1 R26 11ml -HTF","GEL.IT.UP 1 R26 11ml -HTF",8.97
"GEL.IT.UP 1 R27 11ml -HTF","GEL.IT.UP 1 R27 11ml -HTF",8.97
"GEL.IT.UP 1 R28 11ml -HTF","GEL.IT.UP 1 R28 11ml -HTF",8.97
"GEL.IT.UP 1 R29 11ml -HTF","GEL.IT.UP 1 R29 11ml -HTF",8.97
"GEL.IT.UP 1 R30 11ml -HTF","GEL.IT.UP 1 R30 11ml -HTF",8.97
