code,name,price_eur,status
#10 Acrylic Application Brush Rose Gold,#10 Acrylic Application Brush Rose Gold,16.064,active
#12 Acrylic Brush Rose Gold,#12 Acrylic Brush Rose Gold,16.064,active
#6 Gel Brush Rose Gold,#6 Gel Brush Rose Gold,16.064,active
#8 Acrylic brush Rose Gold,#8 Acrylic brush Rose Gold,16.064,active
#8 Gel Brush Rose Gold,#8 Gel Brush Rose Gold,10.256,active
01 Ice Ice Baby -HTF,01 Ice Ice Baby -HTF,7.41,active
02 Cotton Candy -HTF,02 Cotton Candy -HTF,7.41,active
02B Sweetheart -HTF,02B Sweetheart -HTF,7.41,active
02C Ballet Shoes -HTF,02C Ballet Shoes -HTF,7.41,active
02D Le Culotté -HTF,02D Le Culotté -HTF,7.41,active
02E Co Co Co Carde -HTF,02E Co Co Co Carde -HTF,7.41,active
02F Oh Marie Oh Marie -HTF,02F Oh Marie Oh Marie -HTF,7.41,active
02G Riviera Rose -HTF,02G Riviera Rose -HTF,7.41,active
02H Rose Bonbon -HTF,02H Rose Bonbon -HTF,7.41,active
02I Ok Baby -HTF,02I Ok Baby -HTF,7.41,active
03 In the Flesh -HTF,03 In the Flesh -HTF,7.41,active
04 Milkyway -HTF,04 Milkyway -HTF,7.41,active
05 Snow Queen -HTF,05 Snow Queen -HTF,7.41,active
06 Spring Breath -HTF,06 Spring Breath -HTF,7.41,active
07 Lavender Dreams -HTF,07 Lavender Dreams -HTF,7.41,active
07B Liberte -HTF,07B Liberte -HTF,7.41,active
07C Allons Danton -HTF,07C Allons Danton -HTF,7.41,active
07D Tulle Taupe -HTF,07D Tulle Taupe -HTF,7.41,active
08 Ivory -HTF,08 Ivory -HTF,7.41,active
08A Tusker -HTF,08A Tusker -HTF,7.41,active
08B Save the Kalasha -HTF,08B Save the Kalasha -HTF,7.41,active
08D Snowy Tree Tops -HTF,08D Snowy Tree Tops -HTF,7.41,active
08E Ivory Sparkle -HTF,08E Ivory Sparkle -HTF,7.41,active
08F Soft Devotion -HTF,08F Soft Devotion -HTF,7.41,active
09 Coco Nude -HTF,09 Coco Nude -HTF,7.41,active
09A Au Pli Louis -HTF,09A Au Pli Louis -HTF,7.41,active
09B Knock Off -HTF,09B Knock Off -HTF,7.41,active
10 Bridal Bliss -HTF,10 Bridal Bliss -HTF,7.41,active
100 Baby Blush -HTF,100 Baby Blush -HTF,7.41,active
100A She Bangs -HTF,100A She Bangs -HTF,7.41,active
101 Hispanicum -HTF,101 Hispanicum -HTF,7.41,active
102 Marshmallow -HTF,102 Marshmallow -HTF,7.41,active
103 Pink Pizazz -HTF,103 Pink Pizazz -HTF,7.41,active
104 Flamingo -HTF,104 Flamingo -HTF,7.41,active
105 Bar-Bee -HTF,105 Bar-Bee -HTF,7.41,active
106 Smooch -HTF,106 Smooch -HTF,7.41,active
107 Strawbs and Cream -HTF,107 Strawbs and Cream -HTF,7.41,active
108 Funky Fusion -HTF,108 Funky Fusion -HTF,7.41,active
11 Nimbus -HTF,11 Nimbus -HTF,7.41,active
110 Plush -HTF,110 Plush -HTF,7.41,active
111 Stupid Cupid -HTF,111 Stupid Cupid -HTF,7.41,active
112 Moscow Pink -HTF,112 Moscow Pink -HTF,7.41,active
113 Orgasmink -HTF,113 Orgasmink -HTF,7.41,active
114 Carnations Kiss -HTF,114 Carnations Kiss -HTF,7.41,active
115 Tickled Pink -HTF,115 Tickled Pink -HTF,7.41,active
116 Fandango -HTF,116 Fandango -HTF,7.41,active
117 Plum-it -HTF,117 Plum-it -HTF,7.41,active
118 Midnight Royale -HTF,118 Midnight Royale -HTF,7.41,active
119 Indescent Proposal -HTF,119 Indescent Proposal -HTF,7.41,active
12 Stratus -HTF,12 Stratus -HTF,7.41,active
120 Wisteria Lane -HTF,120 Wisteria Lane -HTF,7.41,active
121 Tau-Pe-Do -HTF,121 Tau-Pe-Do -HTF,7.41,active
122 Floating Lilly -HTF,122 Floating Lilly -HTF,7.41,active
123 Psychedelic Barney -HTF,123 Psychedelic Barney -HTF,7.41,active
124 Ma-Di-Gra -HTF,124 Ma-Di-Gra -HTF,7.41,active
125 Cyber Grape -HTF,125 Cyber Grape -HTF,7.41,active
126 Moody Monday -HTF,126 Moody Monday -HTF,7.41,active
127 Purple Hearts -HTF,127 Purple Hearts -HTF,7.41,active
128 Indigo Dreams -HTF,128 Indigo Dreams -HTF,7.41,active
129 Smoke on the Water -HTF,129 Smoke on the Water -HTF,7.41,active
13 Purple Rain -HTF,13 Purple Rain -HTF,7.41,active
130 Byzantium -HTF,130 Byzantium -HTF,7.41,active
131 Bubblegum -HTF,131 Bubblegum -HTF,7.41,active
132 Jamaikin Me Purple -HTF,132 Jamaikin Me Purple -HTF,7.41,active
133 African Violet -HTF,133 African Violet -HTF,7.41,active
134 Obsessive -HTF,134 Obsessive -HTF,7.41,active
135 Secret Randesvouz -HTF,135 Secret Randesvouz -HTF,7.41,active
136 Jac-A-Randa -HTF,136 Jac-A-Randa -HTF,7.41,active
137 Love Child -HTF,137 Love Child -HTF,7.41,active
14 Matriarch -HTF,14 Matriarch -HTF,7.41,active
140 Nudity -HTF,140 Nudity -HTF,7.41,active
141 Sands of Time -HTF,141 Sands of Time -HTF,7.41,active
142 Be Nutty -HTF,142 Be Nutty -HTF,7.41,active
143 Cinna-Bum -HTF,143 Cinna-Bum -HTF,7.41,active
144 Choc-A-Holic -HTF,144 Choc-A-Holic -HTF,7.41,active
145 Spiced Up -HTF,145 Spiced Up -HTF,7.41,active
146 Cocoa Bean -HTF,146 Cocoa Bean -HTF,7.41,active
147 Bitter Sweet -HTF,147 Bitter Sweet -HTF,7.41,active
148 Cherrywood -HTF,148 Cherrywood -HTF,7.41,active
149 Illumi-Latte -HTF,149 Illumi-Latte -HTF,7.41,active
15 Total Eclipse -HTF,15 Total Eclipse -HTF,7.41,active
150 Espresso No -HTF,150 Espresso No -HTF,7.41,active
151 Praline Mocca -HTF,151 Praline Mocca -HTF,7.41,active
