code,product_name,colour_family
15,15 Total Eclipse -HTF,Black
15A,15A Mohana -HTF,Black
2055,2055 Liquid Tar -HTF,Black
17,17 Bruised Ego -HTF,Blue
1810,1810 Behind Closed Doors -HTF,Blue
1815,1815 What a Slate -HTF,Blue
1816,1816 Tempted -HTF,Blue
1933,1933 Hump Back -HTF,Blue
1938,1938 Midnight -HTF,Blue
2031,2031 Down By The Sea -HTF,Blue
2033,2033 Baby Shark -HTF,Blue
2034,2034 Smurfs Baby -HTF,Blue
2053,2053 Lockdown Blues -HTF,Blue
2128,2128 -HTF,Blue
2129,2129 Absolute -HTF,Blue
2130,2130 Passing Storm -HTF,Blue
2229,2229 Blue Bean -HTF,Blue
2232,2232 Bahama Blue -HTF,Blue
2233,2233 Astronaut in the Ocean -HTF,Blue
2300,2300 In the Shallows -HTF,Blue
2303,2303 Blou Berg Strand -HTF,Blue
2409,2409 Bad Boy Blue -HTF,Blue
2423,2423 Peaceful Surrender -HTF,Blue
2429,2429 2 Blue 2 B Tru -HTF,Blue
2438,2438 Midnight Allnight -HTF,Blue
2443,2443 Oti Nane Blue -HTF,Blue
2449,2449 Its Gonna Be My Favourite -HTF,Blue
2451,2451 Bluetallica -HTF,Blue
2456,2456 Maybe Denim -HTF,Blue
2507,2507 Aqua Splash -HTF,Blue
2615,2615 Sky Cream -HTF,Blue
70,70 Bubbles -HTF,Blue
701,701 Portside -HTF,Blue
702,702 Sea Breeze -HTF,Blue
703,703 Electric Stingray -HTF,Blue
704,704 Cape Of Storms -HTF,Blue
705,705 Hang Ten -HTF,Blue
706,706 Whale Watching -HTF,Blue
707,707 Hang 11 -HTF,Blue
708,708 Blue Bayou -HTF,Blue
71,71 Vanuatu -HTF,Blue
72,72 Monday Milkshake -HTF,Blue
73,73 Smurfboard -HTF,Blue
74,74 Sailor She -HTF,Blue
75,75 Oia Blue -HTF,Blue
76,76 Dusty Sky -HTF,Blue
77,77 Starboard -HTF,Blue
78,78 The Abyss -HTF,Blue
79,79 Mobi Dick -HTF,Blue
AD03,AD03 Strange Blue Things -HTF,Blue
B2B03,,Blue
140,140 Nudity -HTF,Brown
141,141 Sands of Time -HTF,Brown
142,142 Be Nutty -HTF,Brown
143,143 Cinna-Bum -HTF,Brown
144,144 Choc-A-Holic -HTF,Brown
145,145 Spiced Up -HTF,Brown
146,146 Cocoa Bean -HTF,Brown
147,147 Bitter Sweet -HTF,Brown
148,148 Cherrywood -HTF,Brown
149,149 Illumi-Latte -HTF,Brown
150,150 Espresso No -HTF,Brown
151,151 Praline Mocca -HTF,Brown
152,152 Frisco -HTF,Brown
153,153 Barely There -HTF,Brown
154,154 Minky -HTF,Brown
155,155 Memory Lane -HTF,Brown
156,156 Foxen -HTF,Brown
1923,1923 Hug-A-Bear -HTF,Brown
1925,1925 Serengeti -HTF,Brown
1947,1947 Naturally Yours -HTF,Brown
2042,2042 Up-Up -HTF,Brown
2049,2049 Bad Apple -HTF,Brown
2133,2133 Voir la vie en rose -HTF,Brown
2136,2136 -HTF,Brown
2137,2137 Amber Embers -HTF,Brown
2138,2138 Sans Retenue -HTF,Brown
2139,2139 Sugar Free -HTF,Brown
2140,2140 Speechless -HTF,Brown
2220,2220 Fading Whiskey Hangover -HTF,Brown
2221,2221 Collapsed Créme Caramel -HTF,Brown
2223,2223 Chocolate Deprived -HTF,Brown
2224,2224 Poor Gingerbread Man -HTF,Brown
2439,2439 Irish Cream -HTF,Brown
2442,2442 Chocolate Crepes -HTF,Brown
2521,2521 Choco Veil -HTF,Brown
1823,1823 Pumpkin Pie -HTF,Coral Orange
1901,1901 Desert Hori-Zen -HTF,Coral Orange
1902,1902 Rings Around the Sun -HTF,Coral Orange
1903,1903 Dancing Firefly (Thermo / Glow) -HTF,Coral Orange
1904,1904 Sienna -HTF,Coral Orange
1905,1905 Sweet Sunset -HTF,Coral Orange
1906,1906 The New Black -HTF,Coral Orange
1907,1907 Red Acacia -HTF,Coral Orange
1926,1926 Eco-Savvy -HTF,Coral Orange
2020,2020 Soft and Sweet -HTF,Coral Orange
2021,2021 Sri-Lanka -HTF,Coral Orange
2038,2038 Hibiscus -HTF,Coral Orange
2039,2039 Coral Reef -HTF,Coral Orange
2041,2041 Di-Bi-Di-Bi -HTF,Coral Orange
2063,2063 Trick or Treat -HTF,Coral Orange
2201,2201 Leave Mealon -HTF,Coral Orange
2203,2203 Pinchy Orange -HTF,Coral Orange
2204,2204 Ouch -HTF,Coral Orange
2222,2222 Hot Cheetos -HTF,Coral Orange
